id,label,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
7232072,1,8561676,Vera,,Bos en Lommer,52.37938,4.84802,Entire home/apt,125,7,2,2015-09-21,0.03,1,0,Centrum-West,65095912,Martin,,52.37278,4.88201,Entire home/apt,95,2,3,2017-04-09,0.05,1,0
45539647,0,243878598,Bunk,,Oud-Noord,,4.91438,Private room,127,1,0,,,12,0,Oud-Noord,243878598,Bunk,,,4.91438,Private room,81,1,0,,,12,244
36372524,0,273502705,Martin,,Centrum-West,52.3737,4.89831,Entire home/apt,200,3,2,2019-08-24,0.12,1,0,De Pijp - Rivierenbuurt,9559167,Adriaan,,52.35488,4.89831,Entire home/apt,140,3,21,2016-11-07,0.38,1,0
15305682,0,2004987,Hester,,Westerpark,52.38124,4.87207,Entire home/apt,107,2,20,2020-03-07,0.54,1,0,Zuid,16776262,Godelieve,,52.35673,4.87207,Entire home/apt,265,2,32,2020-02-08,0.41,1,0
14677564,0,424325,Dragan,,Centrum-Oost,52.36653,4.91112,Entire home/apt,120,2,15,2016-12-05,0.29,1,0,De Baarsjes - Oud-West,24935999,Harry,,,4.86686,Entire home/apt,120,2,9,2020-07-20,0.55,1,0
21468760,0,152013045,Asile Flottant,,Oud-Noord,52.39362,4.91033,Entire home/apt,243,2,12,2020-08-07,0.35,6,364,Oud-Noord,152013045,Asile Flottant,,52.39362,4.91033,Entire home/apt,255,2,2,2019-08-19,0.09,6,364
6064773,0,31479402,Nicole,,Westerpark,52.39067,4.87864,Entire home/apt,133,2,13,2016-07-04,0.19,1,0,Westerpark,23458775,Inez,,52.39138,4.87864,Entire home/apt,106,2,12,2016-07-10,0.18,1,0
9504507,1,14286314,Sterre,,Oud-Oost,52.35734,4.91261,Entire home/apt,50,10,0,,,1,0,De Baarsjes - Oud-West,17531663,Jan-Erik,,52.36526,4.864,Entire home/apt,90,2,6,2015-10-19,0.09,1,0
29020777,0,4744063,Miguel,,Oud-Oost,52.3503,4.91494,Private room,100,2,3,2018-10-28,0.11,1,0,Oud-Oost,32895446,Rens,,52.35887,4.91494,Entire home/apt,330,2,3,2020-01-27,0.22,1,0
6795287,1,35354864,Kim,,Centrum-West,52.38214,4.8856,Entire home/apt,107,3,1,2015-07-07,0.02,1,0,Centrum-Oost,68671201,Thomas,,52.37016,4.91281,Entire home/apt,115,3,5,2016-08-08,0.09,1,0
27131529,1,4739729,Ron,,De Aker - Nieuw Sloten,52.34356,4.82144,Entire home/apt,114,3,16,2019-09-22,0.55,1,0,De Pijp - Rivierenbuurt,135593466,Tiel,,52.34242,4.90328,Entire home/apt,90,5,0,,,1,0
14443375,1,7348004,Hilde,,De Baarsjes - Oud-West,52.36378,4.86416,Private room,70,2,1,2017-07-19,0.02,1,0,Oud-Oost,205725069,Floor,,52.35769,4.91017,Entire home/apt,150,2,10,2020-02-16,0.38,1,70
27061787,0,203627746,Tijmen,,Westerpark,52.38004,4.87819,Entire home/apt,120,1,5,2020-09-20,0.18,1,0,Centrum-West,19380205,Mado,,52.37448,4.87819,Entire home/apt,120,1,0,,,1,0
21810835,0,3163363,Filippo,,Westerpark,52.38485,4.87162,Entire home/apt,150,2,25,2020-02-16,0.7,1,0,De Baarsjes - Oud-West,33963404,Tjerk,,52.37007,4.87162,Entire home/apt,250,2,33,2020-02-09,0.59,1,0
