id,label,left_host_id,left_host_name,left_neighbourhood_group,left_neighbourhood,left_latitude,left_longitude,left_room_type,left_price,left_minimum_nights,left_number_of_reviews,left_last_review,left_reviews_per_month,left_calculated_host_listings_count,left_availability_365,right_neighbourhood,right_host_id,right_host_name,right_neighbourhood_group,right_latitude,right_longitude,right_room_type,right_price,right_minimum_nights,right_number_of_reviews,right_last_review,right_reviews_per_month,right_calculated_host_listings_count,right_availability_365
6956767,0,25511951,Gaya,Eixample,la Dreta de l'Eixample,41.39775,2.17087,Private room,80,1,219,2020-02-17,3.3,1,0,la Sagrada Família,154788425,Key Family Apartments,Eixample,41.40588,2.17087,Entire home/apt,250,1,88,2020-03-12,2.51,6,0
45889186,0,308683001,Sant Jordi Hostels,Eixample,l'Antiga Esquerra de l'Eixample,,2.16089,Shared room,18,1,0,,,15,268,l'Antiga Esquerra de l'Eixample,308683001,Sant Jordi Hostels,Eixample,,2.16089,Shared room,110,1,0,,,15,264
37275926,0,10380563,Tendency,Eixample,l'Antiga Esquerra de l'Eixample,41.39105,2.15888,Entire home/apt,65,3,6,2020-10-17,0.41,44,1,la Dreta de l'Eixample,1561612,Carlos,Eixample,41.39253,2.15888,Entire home/apt,155,3,176,2019-11-16,1.65,1,1
14104582,0,41807465,Casa-Barcelo-Hostel,Eixample,l'Antiga Esquerra de l'Eixample,41.39214,2.15383,Shared room,15,1,42,2019-05-23,0.8,18,292,l'Antiga Esquerra de l'Eixample,41807465,Casa-Barcelo-Hostel,Eixample,,2.15383,Shared room,15,1,78,2019-05-04,1.22,18,292
19099815,1,133424030,Cris,Sant Andreu,Navas,41.41758,2.1893,Private room,35,7,0,,,1,178,el Fort Pienc,8532502,Stephen,Eixample,41.40184,2.18187,Private room,21,2,2,2016-05-27,0.04,1,0
4400390,1,20296916,Adrià,Sants-Montjuïc,Sants - Badal,41.37418,2.12737,Entire home/apt,45,2,277,2020-08-24,3.82,1,175,el Poble Sec,35887104,Pilar,Sants-Montjuïc,41.37389,2.16832,Entire home/apt,42,2,105,2020-07-25,3.44,1,344
46634349,1,265143570,Sleep,Eixample,la Dreta de l'Eixample,41.3966,2.17133,Entire home/apt,33,30,0,,,13,165,la Dreta de l'Eixample,265147782,Sleep,Eixample,41.39598,2.17123,Entire home/apt,31,30,0,,,50,0
18748096,1,113020313,Javier,Horta-Guinardó,el Carmel,41.41887,2.15782,Entire home/apt,73,1,32,2020-02-29,0.82,16,191,la Vila de Gràcia,113020313,Javier,Gràcia,41.39993,2.15654,Entire home/apt,89,1,12,2020-11-30,0.33,16,93
39728225,0,114325250,Erika,Eixample,la Sagrada Família,41.40682,2.1733,Private room,35,2,1,2019-11-17,0.08,1,0,el Clot,173251151,Paula,Sant Martí,,2.18457,Private room,35,2,30,2018-11-04,0.89,1,89
24589091,0,184993404,Adriana De Buho Boutique Rooms,Eixample,la Dreta de l'Eixample,,2.17096,Hotel room,143,1,0,,,12,363,la Dreta de l'Eixample,184993404,Adriana De Buho Boutique Rooms,Eixample,,2.17096,Hotel room,84,1,0,,,12,4
